DEPTH,GR,NPHI,RHOB,RT,vcl,phie,phit
3224.5,84.28,0.35,2.26,2.03,0.63,0.08,0.3
3225.0,84.79,0.34,2.24,2.02,0.63,0.12,0.3
3225.5,85.36,0.34,2.23,2.01,0.63,0.15,0.3
3226.0,86.09,0.34,2.22,1.99,0.64,0.15,0.3
3226.5,87.46,0.34,2.23,1.98,0.65,0.14,0.3
3227.0,89.61,0.34,2.25,1.95,0.67,0.11,0.29
3227.5,92.13,0.34,2.26,1.94,0.69,0.08,0.29
3228.0,93.0,0.33,2.26,1.94,0.69,0.11,0.28
3228.5,93.98,0.33,2.25,1.96,0.7,0.12,0.29
3229.0,92.99,0.33,2.24,1.97,0.69,0.14,0.29
3229.5,90.74,0.34,2.23,1.99,0.67,0.14,0.3
3230.0,89.94,0.35,2.24,2.02,0.67,0.11,0.3
3230.5,91.34,0.36,2.24,2.04,0.68,0.1,0.31
3231.0,93.49,0.36,2.23,2.06,0.7,0.11,0.31
3231.5,95.03,0.36,2.22,2.07,0.71,0.12,0.31
3232.0,95.74,0.37,2.21,2.08,0.71,0.12,0.32
3232.5,96.64,0.38,2.2,2.08,0.72,0.13,0.33
3233.0,97.35,0.38,2.2,2.09,0.73,0.13,0.33
3233.5,96.88,0.38,2.2,2.09,0.72,0.13,0.33
3234.0,95.71,0.38,2.21,2.1,0.71,0.11,0.32
3234.5,94.84,0.39,2.21,2.09,0.7,0.1,0.33
3235.0,94.45,0.39,2.21,2.09,0.7,0.1,0.33
3235.5,94.46,0.39,2.2,2.08,0.7,0.11,0.33
3236.0,95.32,0.39,2.2,2.08,0.71,0.11,0.33
3236.5,97.5,0.39,2.21,2.09,0.73,0.1,0.33
3237.0,99.41,0.39,2.22,2.09,0.74,0.08,0.33
3237.5,100.86,0.39,2.21,2.1,0.75,0.1,0.33
3238.0,100.44,0.4,2.21,2.11,0.75,0.08,0.34
3238.5,99.12,0.4,2.2,2.12,0.73,0.1,0.34
3239.0,98.33,0.4,2.19,2.12,0.73,0.11,0.34
3239.5,98.42,0.39,2.19,2.12,0.73,0.13,0.34
3240.0,98.29,0.38,2.18,2.11,0.73,0.15,0.33
3240.5,98.27,0.37,2.17,2.09,0.73,0.2,0.33
3241.0,98.52,0.35,2.17,2.07,0.73,0.21,0.32
3241.5,98.71,0.35,2.18,2.05,0.73,0.2,0.32
3242.0,99.09,0.36,2.19,2.01,0.74,0.17,0.32
3242.5,100.13,0.36,2.19,1.97,0.75,0.17,0.32
3243.0,101.02,0.37,2.19,1.92,0.75,0.14,0.33
3243.5,101.0,0.38,2.19,1.88,0.75,0.14,0.33
3244.0,99.75,0.39,2.19,1.84,0.74,0.13,0.34
3244.5,97.79,0.39,2.19,1.81,0.72,0.14,0.34
3245.0,95.8,0.39,2.21,1.8,0.71,0.1,0.33
3245.5,94.47,0.39,2.24,1.8,0.7,0.04,0.32
3246.0,93.61,0.4,2.25,1.8,0.69,0.01,0.32
3246.5,92.35,0.4,2.26,1.81,0.68,0.01,0.32
3248.5,93.65,0.39,2.25,1.82,0.7,0.04,0.32
3249.0,95.15,0.38,2.24,1.82,0.71,0.1,0.31
3249.5,96.72,0.37,2.23,1.83,0.72,0.1,0.31
3250.0,98.54,0.38,2.24,1.85,0.74,0.07,0.32
3250.5,101.04,0.39,2.24,1.89,0.76,0.06,0.32
3251.0,105.32,0.4,2.23,1.94,0.79,0.06,0.33
3251.5,110.6,0.41,2.22,2.0,0.83,0.06,0.34
3252.0,116.9,0.42,2.21,2.05,0.87,0.06,0.34
3252.5,121.09,0.42,2.2,2.09,0.91,0.08,0.35
3253.0,127.56,0.42,2.18,2.14,0.95,0.1,0.35
3253.5,133.58,0.42,2.13,2.17,1.0,0.18,0.37
3254.0,139.14,0.42,2.1,2.17,1.0,0.23,0.38
3254.5,143.52,0.42,2.03,2.14,1.0,0.33,0.4
3255.0,147.3,0.43,1.95,2.11,1.0,0.44,0.43
3255.5,149.07,0.43,1.87,2.09,1.0,0.57,0.46
3256.0,149.22,0.43,1.83,2.06,1.0,0.6,0.47
3256.5,147.45,0.43,1.83,2.04,1.0,0.59,0.46
3257.0,144.09,0.42,1.85,2.03,1.0,0.59,0.46
3257.5,138.72,0.41,1.91,2.01,1.0,0.47,0.42
3258.0,131.49,0.41,1.96,2.01,0.97,0.42,0.41
3258.5,124.37,0.41,2.02,2.02,0.91,0.34,0.4
3259.0,115.51,0.39,2.08,2.03,0.85,0.26,0.36
3259.5,107.52,0.36,2.19,2.03,0.79,0.14,0.32
3260.0,100.02,0.33,2.27,2.04,0.73,0.08,0.26
3260.5,94.98,0.29,2.31,2.05,0.7,0.09,0.24
3261.0,89.51,0.27,2.32,2.06,0.65,0.09,0.23
3261.5,84.44,0.27,2.31,2.07,0.61,0.12,0.24
3262.0,81.5,0.27,2.3,2.09,0.6,0.15,0.24
3262.5,81.3,0.28,2.29,2.11,0.6,0.13,0.25
3263.0,80.83,0.29,2.28,2.14,0.6,0.13,0.26
3263.5,79.4,0.3,2.28,2.18,0.59,0.11,0.27
3264.0,77.62,0.31,2.27,2.21,0.57,0.12,0.27
3264.5,76.12,0.32,2.26,2.23,0.56,0.12,0.28
3265.0,75.12,0.32,2.27,2.25,0.56,0.11,0.28
3265.5,74.73,0.33,2.27,2.27,0.56,0.09,0.28
3266.0,74.38,0.33,2.27,2.28,0.55,0.09,0.28
3266.5,73.73,0.34,2.26,2.29,0.55,0.09,0.29
3267.0,72.75,0.34,2.27,2.28,0.54,0.08,0.29
3267.5,72.17,0.34,2.27,2.28,0.54,0.08,0.29
3268.0,71.53,0.33,2.27,2.28,0.53,0.09,0.28
3268.5,70.81,0.33,2.27,2.28,0.53,0.09,0.28
3269.0,70.05,0.33,2.26,2.28,0.52,0.11,0.28
3269.5,69.42,0.34,2.25,2.27,0.52,0.11,0.29
3270.0,68.75,0.34,2.24,2.26,0.51,0.12,0.3
3270.5,68.27,0.35,2.24,2.26,0.51,0.11,0.3
3271.0,67.96,0.36,2.25,2.26,0.5,0.08,0.3
3271.5,68.09,0.36,2.25,2.26,0.51,0.08,0.3
3272.0,68.78,0.36,2.25,2.26,0.51,0.08,0.3
3272.5,69.71,0.36,2.25,2.26,0.52,0.08,0.3
3273.0,69.33,0.36,2.24,2.26,0.52,0.1,0.31
3273.5,68.24,0.35,2.23,2.26,0.5,0.12,0.3
3274.0,67.72,0.35,2.22,2.27,0.5,0.14,0.31
3274.5,67.82,0.36,2.21,2.27,0.5,0.15,0.32
3275.0,68.54,0.36,2.2,2.27,0.51,0.15,0.32
3275.5,69.54,0.36,2.21,2.26,0.52,0.12,0.31
3276.0,70.44,0.35,2.22,2.26,0.53,0.14,0.31
3276.5,70.98,0.34,2.22,2.24,0.53,0.15,0.3
3277.0,71.62,0.34,2.21,2.23,0.53,0.17,0.3
3277.5,72.18,0.35,2.21,2.21,0.54,0.15,0.31
3278.0,72.77,0.35,2.2,2.2,0.54,0.17,0.31
3278.5,73.23,0.36,2.2,2.19,0.55,0.15,0.32
3279.0,73.53,0.36,2.21,2.19,0.55,0.14,0.31
3279.5,73.95,0.37,2.22,2.19,0.55,0.11,0.32
3280.0,74.29,0.37,2.23,2.18,0.55,0.1,0.31
3280.5,74.27,0.38,2.22,2.18,0.55,0.1,0.32
3281.0,74.34,0.38,2.22,2.18,0.55,0.1,0.32
3281.5,74.36,0.38,2.22,2.17,0.55,0.1,0.32
3282.0,74.37,0.38,2.21,2.17,0.55,0.11,0.32
3282.5,74.69,0.38,2.2,2.17,0.56,0.13,0.33
3283.0,75.15,0.37,2.19,2.17,0.56,0.15,0.32
3283.5,75.48,0.38,2.19,2.16,0.56,0.14,0.33
3284.0,76.31,0.37,2.2,2.16,0.57,0.14,0.32
3284.5,76.95,0.37,2.21,2.16,0.57,0.12,0.32
3285.0,77.13,0.36,2.22,2.17,0.57,0.12,0.31
3285.5,76.88,0.36,2.22,2.17,0.57,0.12,0.31
3286.0,76.26,0.36,2.22,2.16,0.56,0.12,0.31
3286.5,75.81,0.36,2.22,2.16,0.56,0.12,0.31
3287.0,75.8,0.36,2.22,2.16,0.56,0.12,0.31
3287.5,75.85,0.37,2.23,2.16,0.56,0.1,0.31
3288.0,75.57,0.38,2.24,2.16,0.56,0.07,0.32
3288.5,75.33,0.39,2.25,2.16,0.56,0.05,0.32
3289.0,75.7,0.4,2.25,2.14,0.56,0.04,0.32
3289.5,76.12,0.4,2.25,2.13,0.57,0.06,0.32
3290.0,76.42,0.39,2.25,2.12,0.57,0.07,0.31
3290.5,76.32,0.39,2.26,2.1,0.57,0.05,0.31
3291.0,76.1,0.38,2.25,2.08,0.56,0.08,0.31
3291.5,76.7,0.37,2.26,2.06,0.57,0.08,0.3
3292.0,78.24,0.37,2.26,2.05,0.58,0.08,0.3
3292.5,79.21,0.38,2.25,2.02,0.59,0.08,0.31
3293.0,80.41,0.38,2.26,1.99,0.6,0.06,0.3
3293.5,81.14,0.39,2.27,1.97,0.59,0.06,0.3
3294.0,81.85,0.39,2.26,1.95,0.59,0.07,0.3
3294.5,81.99,0.4,2.25,1.94,0.59,0.07,0.31
3295.0,81.41,0.4,2.24,1.92,0.56,0.09,0.31
3295.5,80.45,0.4,2.23,1.91,0.55,0.1,0.32
3296.0,79.96,0.4,2.23,1.9,0.54,0.1,0.32
3296.5,80.18,0.41,2.24,1.9,0.54,0.09,0.31
3297.0,80.85,0.41,2.25,1.89,0.55,0.08,0.31
3297.5,81.39,0.41,2.26,1.88,0.55,0.07,0.31
3298.0,81.69,0.41,2.26,1.87,0.55,0.07,0.31
3298.5,81.7,0.41,2.26,1.87,0.55,0.07,0.31
3299.0,81.6,0.4,2.25,1.86,0.55,0.09,0.31
3299.5,81.78,0.4,2.24,1.85,0.55,0.1,0.31
3300.0,82.27,0.4,2.25,1.84,0.56,0.08,0.3
3300.5,82.88,0.4,2.25,1.82,0.56,0.1,0.31
3301.0,83.28,0.4,2.24,1.81,0.56,0.1,0.31
3301.5,83.0,0.41,2.24,1.8,0.56,0.09,0.31
3302.0,82.2,0.41,2.24,1.8,0.55,0.09,0.31
3302.5,81.27,0.42,2.23,1.8,0.55,0.09,0.32
3303.0,80.82,0.42,2.23,1.8,0.55,0.11,0.32
3303.5,80.75,0.42,2.24,1.79,0.55,0.1,0.31
3304.0,81.49,0.42,2.24,1.79,0.55,0.11,0.31
3304.5,82.37,0.42,2.25,1.8,0.56,0.1,0.31
3305.0,83.0,0.42,2.27,1.8,0.56,0.08,0.3
3305.5,83.44,0.41,2.28,1.79,0.56,0.07,0.29
3306.0,83.74,0.41,2.28,1.78,0.57,0.09,0.3
3306.5,84.06,0.4,2.27,1.77,0.57,0.1,0.29
3307.0,84.54,0.4,2.27,1.77,0.57,0.1,0.29
3307.5,85.06,0.4,2.27,1.77,0.58,0.1,0.29
3308.0,85.29,0.4,2.28,1.77,0.58,0.09,0.29
3308.5,85.23,0.41,2.28,1.77,0.58,0.08,0.29
3309.0,85.15,0.42,2.29,1.78,0.58,0.06,0.29
3309.5,85.1,0.42,2.3,1.78,0.57,0.05,0.29
3310.0,85.29,0.43,2.31,1.77,0.58,0.03,0.29
3310.5,85.62,0.43,2.31,1.78,0.58,0.03,0.29
3311.0,85.8,0.44,2.3,1.79,0.58,0.04,0.29
3311.5,85.61,0.44,2.29,1.78,0.58,0.06,0.3
3312.0,84.84,0.44,2.28,1.77,0.57,0.06,0.3
3312.5,84.01,0.44,2.27,1.75,0.57,0.07,0.31
3313.0,83.16,0.43,2.26,1.75,0.56,0.09,0.31
